Algorithm,ArraySize,ArrayType,ExecutionTime_ms,CharacterComparisons,IsSorted
StringMergeSort,2100,NearlySorted,2.541,25866,true
MSDRadixSort,2100,NearlySorted,0.623,4866,true
MSDRadixSortWithQuickSort,2100,NearlySorted,0.280,12433,true
QuickSort,2100,PrefixBased,0.285,54882,true
MergeSort,2100,PrefixBased,2.331,49534,true
StringQuickSort,2100,PrefixBased,0.141,28995,true
StringMergeSort,2100,PrefixBased,2.289,49534,true
MSDRadixSort,2100,PrefixBased,1.446,12845,true
MSDRadixSortWithQuickSort,2100,PrefixBased,0.305,16988,true
QuickSort,2100,Random,0.270,34156,true
MergeSort,2100,Random,2.673,28798,true
StringQuickSort,2100,Random,0.134,21545,true
StringMergeSort,2100,Random,2.638,28798,true
MSDRadixSort,2100,Random,0.729,4873,true
MSDRadixSortWithQuickSort,2100,Random,0.339,10696,true
QuickSort,2100,ReverseSorted,4.905,2233840,true
MergeSort,2100,ReverseSorted,2.494,17192,true
StringQuickSort,2100,ReverseSorted,0.208,97859,true
StringMergeSort,2100,ReverseSorted,2.500,17192,true
MSDRadixSort,2100,ReverseSorted,0.656,4861,true
MSDRadixSortWithQuickSort,2100,ReverseSorted,0.310,27453,true
QuickSort,2200,NearlySorted,0.337,91762,true
MergeSort,2200,NearlySorted,2.656,27656,true
StringQuickSort,2200,NearlySorted,0.127,45784,true
StringMergeSort,2200,NearlySorted,2.709,27656,true
MSDRadixSort,2200,NearlySorted,0.667,5105,true
MSDRadixSortWithQuickSort,2200,NearlySorted,0.292,13365,true
QuickSort,2200,PrefixBased,0.302,60916,true
MergeSort,2200,PrefixBased,2.449,52072,true
StringQuickSort,2200,PrefixBased,0.160,29070,true
StringMergeSort,2200,PrefixBased,2.483,52072,true
MSDRadixSort,2200,PrefixBased,1.483,13493,true
MSDRadixSortWithQuickSort,2200,PrefixBased,0.306,17726,true
QuickSort,2200,Random,0.289,38138,true
